coffee_id,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points
23,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,,87.17
24,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,,87.08
25,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,,87.08
26,8.5,8.5,8,8,8,8,10,10,10,7.92,,86.92
27,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,,86.92
28,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,,86.83
29,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,,86.67
30,8,8,8,8.25,8,8.17,10,10,10,8.17,,86.58
31,7.92,8.25,8,8.33,8,8.08,10,10,10,8,,86.58
32,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,,86.5
33,8.5,8.17,8,7.75,8,8,10,10,10,8,,86.42
34,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,,86.33
35,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,,86.25
36,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,,86.25
37,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,,86.25
38,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,,86.25
39,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,,86.25
40,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,,86.17
41,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,,86.17
42,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,,86.17
43,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,,86.17
44,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,,86.08
45,8.08,8.08,8,8,7.83,8.08,10,10,10,8,,86.08
46,8.33,8,8,8,7.75,8,10,10,10,8,,86.08
47,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,,86
48,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,,86
49,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,,86
50,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,,86
51,7.75,8.08,8,8.25,8,8,10,10,10,7.92,,86
52,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,,86
53,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,,85.92
54,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,,85.92
55,8,8,8,8.17,7.83,8,10,10,10,7.92,,85.92
56,8,8,7.92,8.08,7.83,8,10,10,10,8,,85.83
57,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,,85.83
58,7.83,8,8,8.17,7.83,8,10,10,10,8,,85.83
59,8,8,7.83,8.33,7.83,7.83,10,10,10,8,,85.83
60,7.83,8,7.83,8.17,7.92,8,10,10,10,8,,85.75
61,8,8,8,8.08,7.92,7.75,10,10,10,8,,85.75
62,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,,85.75
63,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,,85.58
64,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,,85.58
65,7.83,8,7.92,7.75,8.08,8,10,10,10,8,,85.58
66,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,,85.5
67,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,,85.5
68,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,,85.5
69,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,,85.5
70,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,,85.5
71,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,,85.42
72,8.08,8,7.83,7.67,8,7.83,10,10,10,8,,85.42
73,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,,85.42
74,8,8,8,7.67,7.75,8,10,10,10,8,,85.42
75,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,,85.42
76,8,8,8,7.83,7.83,7.75,10,10,10,7.92,,85.33
77,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,,85.33
78,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,,85.33
79,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,,85.33
80,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,,85.33
81,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,,85.33
82,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,,85.33
83,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,,85.33
84,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,,85.25
85,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,,85.25
86,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,,85.25
87,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,,85.17
88,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,,85.17
89,7.75,8,7.58,8,8,7.92,10,10,10,7.83,,85.08
90,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,,85.08
91,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,,85.08
92,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,,85.08
93,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,,85.08
94,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,,85.08
95,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,,85.08
96,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,,85.08
97,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,,85
98,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,,85
99,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,,85
100,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,,85
101,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,,85
102,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,,85
103,8,8,7.83,7.83,7.67,7.67,10,10,10,8,,85
104,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,,85
105,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,,85
106,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,,85
107,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,,84.92
108,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,,84.92
109,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,,84.92
110,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,,84.92
111,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,,84.92
